School_Name,Area_50m_Concrete_percent,Area_50m_Concrete_sqm,Area_50m_Building_percent,Area_50m_Building_sqm,Area_50m_LowVege_percent,Area_50m_LowVege_sqm,Area_50m_Tree_percent,Area_50m_Tree_sqm,Area_50m_Water_percent,Area_50m_Water_sqm
Curley_K8_Upper_School_50,41.476853288256,3257.584439610168,26.906739971877013,2113.2504156924915,4.529088914663749,355.7138115440651,22.730247776393938,1785.2294857148734,0.0,0.0
Gardner_Pilot_Academy_K8_,42.196259109303256,3314.0864406689625,24.39766772471013,1916.1883422168535,7.317448173262527,574.7110356036402,22.261587568609826,1748.4209990697627,0.0,0.0
"Kenny,_Thomas_J__Elementa",39.87405422489268,3131.7008955440974,19.58734681387288,1538.386621344462,10.62977698396546,834.8607320530939,14.425573855118747,1132.9819211764514,0.029335683255777668,2.3040191751097057
"Hurley,_Joseph_K8_50m",45.60779458722719,3582.027810541632,24.79915988943334,1947.7214630960611,9.781628435819819,768.2473008529141,15.563483928549546,1222.3531693548516,0.0,0.0
Carter_Development_Center,33.26555289754033,2612.670415012884,27.44441574877169,2155.479372460129,8.35294378852839,656.0386710472322,22.929528664149405,1800.880970039209,0.0,0.0
"Edison,_Thomas_A__K8_50m",47.17779242786957,3705.3351525994804,25.36278379338141,1991.9883809968326,7.8283648756614825,614.8383395749621,15.376279310642099,1207.6501530464486,0.0,0.0
"OBryant,_John_D__School_o",45.07298365514996,3540.0238581597987,19.663180677240298,1544.3425990456724,10.824941504524341,850.188917653823,17.145412421600795,1346.597542661706,0.0,0.0
"Eliot,_John_K8_Lower_Scho",37.22391400318084,2923.5593692562784,23.857738881071487,1873.7824300009438,11.734311430021277,921.6106645872396,23.13525793128151,1817.0389088954748,0.0,0.0
"Stone,_Lucy_Elementary_50",45.925191025927035,3606.9560685440065,25.646576521497348,2014.2774097416136,7.9671795478519005,625.7408184340595,15.694663524706955,1232.6559907445767,0.0,0.0
"Muniz,_Margarita_Academy_",46.37945508294484,3642.633884151932,23.423794680689298,1839.7005322012294,10.952599479974145,860.2151515999542,15.415892918407382,1210.7613985248886,0.005341009865578302,0.4194819339112851
"Dever,_Paul_A__Elementary",42.856020876430684,3365.904008687136,23.233113066060003,1824.7244332088783,12.854005643697441,1009.5512424860406,15.567615345929289,1222.6776501170796,0.0,0.0
Charlestown_High_50m,40.158673389505935,3154.0548324595943,20.817045947838125,1634.9669654792356,11.747758428116535,922.6667893479621,23.62300224798647,1855.3462579502368,0.0,0.0
Orchard_Gardens_K8_50m,41.35579700247937,3248.0767011585,25.324740479935116,1989.0004661458054,5.14648461229726,404.20395624514964,22.999460389307337,1806.3733948894344,0.0,0.0
Warren_Prescott_K8_Lower_,37.706672540243176,2961.4751360935984,33.412721012982175,2624.228971770752,6.567277361295752,515.7927578083323,16.67699262394164,1309.8079377836557,0.0,0.0
Rogers_Middle_School_50m,46.370145765989896,3641.9027321080425,20.459270897355488,1606.8673787233865,8.129217595962436,638.4672569727118,17.802728209043824,1398.2230038846965,0.0,0.0
"Henderson,_Dr__William_W_",50.85402430096123,3994.065728734415,25.11353788644946,1972.4126532429643,4.787482404228862,376.00798875789485,13.381789829134485,1051.003315477288,0.0,0.0
"Mason,_Samuel_W__Elementa",48.336674263121516,3796.3535190996345,22.21524621911353,1744.7813579913875,5.68544719512932,446.5339785147742,19.581799218650364,1537.9509142345585,0.0,0.0
"Winship,_F__Lyman_Element",50.0950018217947,3934.4522426229387,19.7009529758812,1547.3092284436589,6.4764749352722735,508.6611519452451,16.442667375946478,1291.4040758423503,0.0,0.0
