SchoolName,NCESID,Lat,Long,N,E,S,W,N_window_area,E_window_area,S_window_area,W_window_area,NE,SE,SW,NW,NE_window_area,SE_window_area,SW_window_area,NW_window_area,N_house_area,E_house_area,S_house_area,W_house_area,NE_house_area,SE_house_area,SW_house_area,NW_house_area,N_ratio,E_ratio,S_ratio,W_ratio,NE_ratio,SE_ratio,SW_ratio,NW_ratio
Higginson,250279002806,42.317640999999995,-71.09200200000001,0,24,0,0,0.0,317321.5,0.0,0.0,1,0,0,7,2166.0,0.0,0.0,178979.5,0.0,918981.0,0.0,0.0,89488.0,0.0,0.0,710015.0,0.0,0.3452971280146162,0.0,0.0,0.024204362596102272,0.0,0.0,0.2520784772152701
Higginson/Lewis K-8,250279002677,42.32076,-71.08694799999999,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horace Mann School For The Deaf,250279002374,42.352795,-71.137633,0,8,0,0,0.0,37574.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,453992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08276467426738797,0.0,0.0,0.0,0.0,0.0,0.0
Hugh Roe O'Donnell,250279000249,42.378054999999996,-71.03801700000001,23,0,19,0,231881.0,0.0,20400.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1123510.0,0.0,235607.0,0.0,0.0,0.0,0.0,0.0,0.20638979626349566,0.0,0.08658486377739201,0.0,0.0,0.0,0.0,0.0
Jackson Mann,250279000251,42.352795,-71.137633,1,0,1,0,13659.0,0.0,95613.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,677715.0,0.0,1741038.0,0.0,0.0,0.0,0.0,0.0,0.020154489719129722,0.0,0.05491752621137505,0.0,0.0,0.0,0.0,0.0
James J Chittick,250279000255,42.267207,-71.10471,0,0,0,0,0.0,0.0,0.0,0.0,37,0,6,34,242138.5,0.0,73100.5,303836.0,0.0,0.0,0.0,0.0,816000.0,0.0,405471.0,1467960.0,0.0,0.0,0.0,0.0,0.29673835784313723,0.0,0.18028539648951467,0.20697839178179242
James Otis,250279000257,42.375209999999996,-71.03400699999999,0,0,0,0,0.0,0.0,0.0,0.0,0,10,29,14,0.0,23986.5,25417.0,49179.5,0.0,0.0,0.0,0.0,0.0,86086.0,95480.0,113091.0,0.0,0.0,0.0,0.0,0.0,0.27863415654113327,0.2662023460410557,0.4348666118435596
James P Timilty Middle,250279000258,42.330669,-71.091171,11,0,13,0,8706.5,0.0,13344.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,114464.0,0.0,192796.0,0.0,0.0,0.0,0.0,0.0,0.07606321638244339,0.0,0.06921564762754415,0.0,0.0,0.0,0.0,0.0
James W Hennigan,250279000259,42.325918,-71.106639,0,0,2,0,0.0,0.0,7764.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,129847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059793449213304886,0.0,0.0,0.0,0.0,0.0
Jeremiah E Burke High,250279000261,42.306942,-71.081648,0,0,0,0,0.0,0.0,0.0,0.0,8,0,8,0,1954.5,0.0,12739.0,0.0,0.0,0.0,0.0,0.0,80514.0,0.0,81955.0,0.0,0.0,0.0,0.0,0.0,0.024275281317534838,0.0,0.15543896040510036,0.0
John D Philbrick,250279000264,42.28541,-71.117814,0,9,0,17,0.0,24374.0,0.0,23984.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,278078.0,0.0,106260.0,0.0,0.0,0.0,0.0,0.0,0.08765166607930149,0.0,0.2257152268021833,0.0,0.0,0.0,0.0
John F Kennedy,250279000265,42.321853999999995,-71.105531,10,6,0,5,42208.5,13549.5,0.0,33316.0,0,0,0,0,0.0,0.0,0.0,0.0,120500.0,21217.0,0.0,300762.0,0.0,0.0,0.0,0.0,0.35027800829875516,0.6386152613470331,0.0,0.1107719725231246,0.0,0.0,0.0,0.0
John W Mccormack,250279000269,42.31812,-71.04380400000001,7,8,0,0,173232.5,226722.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,424000.0,329868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4085672169811321,0.6873128039094426,0.0,0.0,0.0,0.0,0.0,0.0
John Winthrop,250279000270,42.318173,-71.075653,9,11,0,33,12587.5,10780.0,0.0,51024.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62884.0,0.0,176015.0,0.0,0.0,0.0,0.0,0.0,0.17142675402328098,0.0,0.28988722552055224,0.0,0.0,0.0,0.0
Joseph J Hurley,250279000272,42.339033,-71.077862,0,0,0,0,0.0,0.0,0.0,0.0,13,0,9,5,52108.5,0.0,23361.0,36586.5,0.0,0.0,0.0,0.0,258077.0,0.0,76472.0,156636.0,0.0,0.0,0.0,0.0,0.20191067007133529,0.0,0.3054843602887331,0.23357657243545546
Joseph Lee,250279000273,42.292244000000004,-71.079963,6,3,0,0,37635.0,5661.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,200685.0,34645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875327005007848,0.16340020204935776,0.0,0.0,0.0,0.0,0.0,0.0
Joseph P Manning,250279000274,42.30554,-71.13141999999999,14,0,0,0,18341.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,84162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2179249542548894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph P Tynan,250279000275,42.334507,-71.039046,0,0,0,8,0.0,0.0,0.0,26285.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08485872751455985,0.0,0.0,0.0,0.0
Josiah Quincy,250279000277,42.34785,-71.064821,0,9,21,0,0.0,44532.5,125824.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,105399.0,752096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225134963329823,0.16729779177126325,0.0,0.0,0.0,0.0,0.0
Joyce Kilmer,250279000278,42.271894,-71.162628,0,30,0,22,0.0,66536.5,0.0,66358.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,500858.0,0.0,142635.0,0.0,0.0,0.0,0.0,0.0,0.13284503791493796,0.0,0.465232937217373,0.0,0.0,0.0,0.0
Joyce Kilmer,250279000278,42.271894,-71.162628,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King K-8,250279002669,42.311098,-71.076424,0,0,4,4,0.0,0.0,22522.0,76822.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42018.0,467345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536008377362083,0.16438070376274486,0.0,0.0,0.0,0.0
